# potentia sieve, alphabet lower27, dictionary sha256 4701b149b996d450369b55078c0dc0d4346125b173e3a3b370aa3b1052adf97b
length,log10_units,clean,window,words,log10_frac_clean,log10_frac_window,log10_frac_words,verified_by,pruned_window_states,log10_frac_prefix_tree_explored
49,70.1368,12858099157777992053198452575564209237502055576747401200516531144884224,127179324959295550978615347998493396581501784,12695907828543912063762301217499428319922460,-0.0276,-26.0324,-27.0332,counted,,
50,71.5682,346708872196909030033854815212806091995699627303926520708951732308148224,946008721262340969040775847259234621633316569,94437043355102192693289911403227725113895921,-0.0282,-26.5923,-27.5930,counted,,
51,72.9996,9348741255221862574263384962497627832063243754897521969646174849778843648,7036776668557828477547149043872879019840468594,702459054473727113272758984369764505696244264,-0.0288,-27.1522,-28.1529,counted,,
52,74.4309,252081703312888061711728234220471282025532527937237660749233291134261788672,52342251200150795252398721120283892370783598387,5225160626202796166639796722204225463867109448,-0.0294,-27.7121,-28.7128,counted,,
53,75.8623,6797191558770858031435782098757191656297490063995514750690866115585056440320,389341793760188024307309058524995457954449784950,38866753933521008298199849583458487017938275050,-0.0299,-28.2719,-29.2727,counted,,
54,77.2936,183281104814177398421835268657419236396398587390251562697442584574702273953792,2896073986228610205299078170524133660409608468844,289105862114900894188790926082878605583472736882,-0.0305,-28.8318,-29.8326,counted,,
55,78.7250,4942035705696654667785047319660587129370098013810424013651469717947470590246912,21542112059705258493246110226890001333514642210587,2150480591341607792310327418891238334814740976564,-0.0311,-29.3917,-30.3925,counted,,
56,80.1564,133258237073281633721378947296268165509928911631217564985071719865576494469218304,160238514107871563814907601893458407557694925949851,15996101661983120013239545519537269625352697787257,-0.0317,-29.9516,-30.9524,counted,,
57,81.5877,3593207092253435498118263860014147568621774250770727713966802929171623091546095616,1191915690779897191036677426689091786696203861241994,118985155596782706780473960006235780120734718878061,-0.0323,-30.5115,-31.5122,counted,,
58,83.0191,96888098562494645427830712990070809087424282222450577252748740874967189236398161920,8865927280767030041761937784275264665092732648221557,885057345449958613649522752624033900230694864170802,-0.0328,-31.0714,-32.0721,counted,,
59,84.4505,2612513947023450104074673398102208873057197468303753929134604138907609120526550695936,65948176701847750405954159109481731921788838138449668,6583396908253840313251659846614195849563574869494478,-0.0334,-31.6313,-32.6320,counted,,
60,85.8818,70444453185234563487065106888399271735760165513681317166071174874346984053836670304256,490547900144517521891977029044981536538499197859340505,48969837985021828383438917447087413871925996882889682,-0.0340,-32.1911,-33.1919,counted,,
61,87.3132,1899481145438708353369634287449038495829251437531611848475350254344619422533443746004992,3648883931432924422460273570802550826052295558778369601,364256487167841286386214454459905873094068390391333039,-0.0346,-32.7510,-33.7518,counted,,
62,88.7446,51218065564222515838274184252773381956690301679177622306676957159693126571269290824040448,27141801934917758807294633559225833840887781259646679396,2709479834201062112427244298777083020273256065500444779,-0.0351,-33.3109,-34.3117,counted,,
63,90.1759,1381056214451191828982739282045782931765508381034440088033959992764981395838871098821181440,201891160751071512713196167360404815850188991946725102987,20154152997678175109531352611601822377169520493943315100,-0.0357,-33.8708,-34.8716,counted,,
64,91.6073,37239131280400772965346350123762464156777165750554060468856560698041537582663650130775769088,1501744095185730577862887811086936683341179421621570811796,149914340690786353552058873507330032164639820144963989714,-0.0363,-34.4307,-35.4314,counted,,
80,114.5091,2908107767580666047926840356247369353942266762456347624387516699330892501550135157707655996890756515693703741833216,131902789777894706824801989414966708708175170822445167931400942262168442,13167436334893004954884072082654431697029532779503052614265081530847735,-0.0455,-43.3888,-44.3896,counted,,
100,143.1364,120053324363594391792554694098520332270299939212068368942871379440798686248614219017912721292144685838657058566685542527444233088261250063794176,35467170378050992957338226331226123185128462145570158204072607711893359670496602462673946,3540574909130036001159269662678121818556449777106387556307733042088514809909750938489531,-0.0570,-54.5865,-55.5873,counted,,
128,183.2146,1384979554316587999041589777796802163131074812584887857173613160584106445927394590300901103554702356073399712117994259308174827586937341373606475744517023708805677845124266598428835840,89377484083823787542466179281640942372851645326096816137001722638876885938827088214621643866345326675865064541925,8922270206934540828408578003652320285964953739554655311072573071346462002888176058507817084812147646237835293789,-0.0731,-70.2633,-71.2641,counted,,
200,286.2728,14394369969190961004509657968289993204108129060455485222227361358957760297244149884134284000370541483819513423464219398833648803265448374549414024274041698419198714013818959663396208509125340978514837532273929399652604021394940280704902682180287055745588582767000312428346767740529278976,49852775461971673800835398184222870986294199544423184607572945455480131823511521273797387899428619200127814170620981287453279342418087172684480400014591644533727417043920636990,4976644149215321874672163106476233406309796043341603720772474408325433440147474755284945067031846792831238076692089322765966066896023228548531537730183675085826038753646793951,-0.1146,-110.5751,-111.5758,counted,,
256,366.4291,1915715461140208837473997980232282704978180449264472208105990964234101438091868071833445192053638540266902197171683910428924393234603896378777162340513446140346409827918593485303022264498671575687001856106396906021474942557913999496220538303662409587442139067847946403715082163174509121678380949243207500970835259729979991665496751161774196600908118895798875433467904,316586586502679829932915201252803795777608584443929835089614312487023334894374122089610577647248723828524923421117190855373586241205075160623056593530685221145272796313533280790143651923997120798710215838461238598411646304751,31603832862634756032829665794020867528205693141272970144478224549816990207232047081152923679513965168060610851715793070679833857522157379669556382074468924784223719595151927703283588964850862243188889078149904935543267589494,-0.1468,-141.9286,-142.9294,counted,,
500,715.6819,24811217283650861285383407809091452485755606242411282052446397078597735901155823159490398179948956690626071274105832080593245827674041756012017740907483350993195410093369524069488139004231620542304936656373983828990588605371077173686272894724904737661694149321583012450536166491235896439235427885824337724317296005626922515784007429881454797797112852179080013104447098142805358819677334145563731545586139874038037857398885811154281808589807095974443257174931860608273301197457524056563343885956993419228626782088985367815335965396084141930239007271958688258032577639631689160708208897194131122265374202786525307963820010470510203090716145729200140240234699115017897260534383022981830577909429401970246725071458533376,138445149254720375718103380872633197055066409222246983380821089001274888059360686000683211395934332480358034914560000193016161860871961716936565733797133722269617769942224400019087988979528261147109491539437921025130661296695029521520942709452973801776631298115776756758580657551349496883486028795777409381996733631697989291976060692097166373244551041196811725875517434118105147296541638537837235053133832030591390445977816279988731990615,13820539290762619905141822708205885181739902096290061160354366461674521084406926727176712954544806102768552646521014523329075219564945454503076857367035714939129831585285233384449338967561947166028189302895645381132278971227286992396458532357114759298086786486901697469788078850289710145430133619615017349835886377435699578337394921387920738426626599921895367475505159868323362636446229754037960830774915930572266729622892019958905761468,-0.2872,-278.5406,-279.5414,counted,,
1000,1431.3638,614809294004771254267138599153886024257124140759538624497580178675697315324126543046120183704204604089813277764904671598538617873590192141587858908594165141733025412336780934793505137631959532854076636504289865539930284364352704365542594338017866801805696073323514708930338594662822490460873253360306179312642137666806288793993199086714344916936027997305599308409389227606707967430317319371545052620528254429730194230958485411703407988705964097047729534393134417168196151543988467124222580517525480267406476986049331854366025288710844484031976566377828850625100415032918234276210552937791447455850963409067604481955437891253130058473790537471016002110251213898637760071052011403935607249130298248811243954988357801006532538400752858311860641529650118748197007110330994886706852623172535082749726436092380239261385963974448754640392381131983336261524201867339332585287848926445458855488309574509537746502091691482630316948084271099713742559570131511996329450466308696876758454324645237335578824200828944047754323176236813172590548912391422763604713060672199668870759906840998609050901089586322785390692047989267057919346903446586375229577291288475372943738073233555139225755759929885737099059301050677173109983720175696042698009084536685236338324006093955361785455197096723453774977505367952207871087900401168838779429545577889783798426440408085762560975269523833624847441553863881188979117381630240339782113430871258298379849957376,759611877942835967020084040922725668719093400528010534494531984629202992919202997985100585610077990143645302873759926331379873107317633513741144625896104966761683150217314731484901838318940827809442057929303419135641572813849644162793964059657623055942127380660324865333955981972873192411286075925926303550112899178276931559875793885056317364469906221518512348859639939328651388486154060896068672267052508587218912165266791331569830493294816024207384689498760837340415708862455963803259066854989533238195871244537173361311477947722221224098288907715557199207099488153289763645801123505789577536316553930556359346072892419258231454634277260945683142999648619794809720238883513547257456330320603222504430930972884834211882168756030247640827606867544137027901400226344102356045150392309770621089637800662087470201426908970155280635835010078006716881610509520668448395939821128,75829639834643752272451725810424476970231249080580127946403350259279252271460654173308542723889256878091238253207218132222926276144497493635124057021618960491237494949619401590364446028404103576104373620069522163845420313301781583118097339738204199441137363948443642185901791297231637069970108559288938952331542759276637588650505260885417895915936187602687661841027617859222888007903695616389484433113937035354601286729701194752633240922186536075292561699620906240003119749397898732439473325443675345891531334773973712485214018932204767867878417357384829426323682365998036547086646991922903540597494784982655803289343389112624416433574294728418730784760568636020582217630117638173009137737171951337178934778432308286211389573599940428248232088521524675435043117809939639170597811922068885734677295779342396424047467914271603373131571433568154762655453796561906274922835472,-0.5750,-558.4832,-559.4839,counted,,
