# sieve sift, alphabet lower27, dictionary sha256 51ecd4eed87c71ca0de28627fb7f6646a7802d782e665a86848eccfba4cd8353
length,log10_units,clean,window,words,log10_frac_clean,log10_frac_window,log10_frac_words,verified_by,pruned_window_states,log10_frac_prefix_tree_explored
50,71.5682,346708872196909030033854815212806091995699627303926520708951732308148224,1067419310802375553133030336339127297091370,72758180740090486966109269857388729607817,-0.0282,-29.5399,-30.7063,counted,,
51,72.9996,9348741255221862574263384962497627832063243754897521969646174849778843648,6903849161355541838300373817646450750645753,470584940510959327712547126925262278245340,-0.0288,-30.1605,-31.3269,counted,,
52,74.4309,252081703312888061711728234220471282025532527937237660749233291134261788672,44652684569525128948666230892905073779743685,3043646909685085116014604288187907587754282,-0.0294,-30.7811,-31.9475,counted,,
53,75.8623,6797191558770858031435782098757191656297490063995514750690866115585056440320,288804447622489211244284107571718936892366811,19685687714050080810571653504002063532231845,-0.0299,-31.4017,-32.5681,counted,,
54,77.2936,183281104814177398421835268657419236396398587390251562697442584574702273953792,1867928122856937861202367212984066665985711592,127323009912402117327073008403268988038439991,-0.0305,-32.0223,-33.1887,counted,,
55,78.7250,4942035705696654667785047319660587129370098013810424013651469717947470590246912,12081376804876499545710895889708821016431231454,823499155439570128408661181196578796892006717,-0.0311,-32.6429,-33.8093,counted,,
56,80.1564,133258237073281633721378947296268165509928911631217564985071719865576494469218304,78139874092603752668685494442970525599771950745,5326223946471226534045937301241423035343471860,-0.0317,-33.2635,-34.4300,counted,,
57,81.5877,3593207092253435498118263860014147568621774250770727713966802929171623091546095616,505392733551968865763553552052415968212543295313,34448927981610846586744156546017041235063701943,-0.0323,-33.8841,-35.0506,counted,,
58,83.0191,96888098562494645427830712990070809087424282222450577252748740874967189236398161920,3268776871128300938691120730943610023300780036459,222808626610493739179720705959774054983092870373,-0.0328,-34.5047,-35.6712,counted,,
59,84.4505,2612513947023450104074673398102208873057197468303753929134604138907609120526550695936,21141780235238095426260386580140854581973461147109,1441080624218170160318189585247869763829609357413,-0.0334,-35.1253,-36.2918,counted,,
60,85.8818,70444453185234563487065106888399271735760165513681317166071174874346984053836670304256,136740710762656065461089859794844384058109041405886,9320614673024422808143111378640536611097105005372,-0.0340,-35.7459,-36.9124,counted,,
61,87.3132,1899481145438708353369634287449038495829251437531611848475350254344619422533443746004992,884410957732746829160063588597876768709260770131491,60283829873512940071260873226671246263517037292169,-0.0346,-36.3665,-37.5330,counted,,
62,88.7446,51218065564222515838274184252773381956690301679177622306676957159693126571269290824040448,5720189235372569509781693364982859013835002691633115,389903486951597811156449841962039681857126096949378,-0.0351,-36.9871,-38.1536,counted,,
63,90.1759,1381056214451191828982739282045782931765508381034440088033959992764981395838871098821181440,36997014207019384873009999128931002313320952835227990,2521816021478650691294472058770908785480427355652998,-0.0357,-37.6078,-38.7742,counted,,
64,91.6073,37239131280400772965346350123762464156777165750554060468856560698041537582663650130775769088,239289122029942142170158249554520453926697004651850981,16310590278717285419353956027866609358778053945145511,-0.0363,-38.2284,-39.3948,counted,,
80,114.5091,2908107767580666047926840356247369353942266762456347624387516699330892501550135157707655996890756515693703741833216,2244003061445485642944219561485303669261000953927081657092387708061,152957285401760063366047680391925695802812906533146169319349596035,-0.0455,-48.1581,-49.3245,counted,,
100,143.1364,120053324363594391792554694098520332270299939212068368942871379440798686248614219017912721292144685838657058566685542527444233088261250063794176,36825534208835816243227907326685694541806111300720749193079353197736375845723812642,2510127478333100730353520273449875771462403445259057931149818865589430271370841545,-0.0570,-60.5702,-61.7367,counted,,
128,183.2146,1384979554316587999041589777796802163131074812584887857173613160584106445927394590300901103554702356073399712117994259308174827586937341373606475744517023708805677845124266598428835840,1850652637199500276986111381074430144492947869976781506067664758493409861257880815752827177023435163848782,126145462307223455449582466635357536274790818061780757372454564911195536317616425503271435266797212672085,-0.0731,-77.9472,-79.1137,counted,,
200,286.2728,14394369969190961004509657968289993204108129060455485222227361358957760297244149884134284000370541483819513423464219398833648803265448374549414024274041698419198714013818959663396208509125340978514837532273929399652604021394940280704902682180287055745588582767000312428346767740529278976,43830568983402603901624220482241679984220733265512364156724823965330491262544376204185404736232393092673457679519453622037620889697498500178635924666811123575027348,2987609493247079706192419687008724837332242370357730141860820668618624920654217034768131801309995000993631742847620317665492622197464399390949287334842174062219219,-0.1146,-122.6310,-123.7974,counted,,
256,366.4291,1915715461140208837473997980232282704978180449264472208105990964234101438091868071833445192053638540266902197171683910428924393234603896378777162340513446140346409827918593485303022264498671575687001856106396906021474942557913999496220538303662409587442139067847946403715082163174509121678380949243207500970835259729979991665496751161774196600908118895798875433467904,110695207328751865382060626951130187647874289672590985481767172769194111812706007251399656233421597937095924305035050682520253453306926272867298771204135406854951598550319710896445281813017622196467255733272777,7545283119586351634421230930179684456791580025701420641231312542507311322990765058013594784119651414123370193943350509936656015964923307358101878060907396620342914302081251293675748424614789999717925287061836,-0.1468,-157.3850,-158.5514,counted,,
500,715.6819,24811217283650861285383407809091452485755606242411282052446397078597735901155823159490398179948956690626071274105832080593245827674041756012017740907483350993195410093369524069488139004231620542304936656373983828990588605371077173686272894724904737661694149321583012450536166491235896439235427885824337724317296005626922515784007429881454797797112852179080013104447098142805358819677334145563731545586139874038037857398885811154281808589807095974443257174931860608273301197457524056563343885956993419228626782088985367815335965396084141930239007271958688258032577639631689160708208897194131122265374202786525307963820010470510203090716145729200140240234699115017897260534383022981830577909429401970246725071458533376,73902863608188374264490733587424754236734100348339365661617684463709237550999669065535580443455194312803219255313626994571185589357092486871581699022623233655558105274341518016307990800017379171886599971935807145263295443271802889395736632733698195300317857277319812865177985207932228960150197456926466159520856458702797002759548066882043372317007807113042763127838225223061166400569305278825046099378617891,5037417994221698081882126922682487374630719547819333574355338847011394185251395851388449464938268651377579820109869883157849387245279682538582771716619570515598904635557448281465999946740814648948382676947511903984859145068860919548263913335400442284413795067834090830690166278673148955457898719353149809925108496281901100206570018502761776298990215521934228079906176847121799312442240142496786191194134914,-0.2872,-308.8132,-309.9797,counted,,
1000,1431.3638,614809294004771254267138599153886024257124140759538624497580178675697315324126543046120183704204604089813277764904671598538617873590192141587858908594165141733025412336780934793505137631959532854076636504289865539930284364352704365542594338017866801805696073323514708930338594662822490460873253360306179312642137666806288793993199086714344916936027997305599308409389227606707967430317319371545052620528254429730194230958485411703407988705964097047729534393134417168196151543988467124222580517525480267406476986049331854366025288710844484031976566377828850625100415032918234276210552937791447455850963409067604481955437891253130058473790537471016002110251213898637760071052011403935607249130298248811243954988357801006532538400752858311860641529650118748197007110330994886706852623172535082749726436092380239261385963974448754640392381131983336261524201867339332585287848926445458855488309574509537746502091691482630316948084271099713742559570131511996329450466308696876758454324645237335578824200828944047754323176236813172590548912391422763604713060672199668870759906840998609050901089586322785390692047989267057919346903446586375229577291288475372943738073233555139225755759929885737099059301050677173109983720175696042698009084536685236338324006093955361785455197096723453774977505367952207871087900401168838779429545577889783798426440408085762560975269523833624847441553863881188979117381630240339782113430871258298379849957376,176523094004084449786404890953054273915586253347012477752249770414056547248187871116717287024453358392408346715677993506370380887968797629175388081159917248563090129460404786870508474859772374063214937082440242710664383304560160595001931072007280001973393952718807771379029625902007261373087274996443186644076671354814001998120523300179784016802470998525340336891731132648472733798866927587736930442259214681841504359631599556169418296808776419483711835633672471514579538045539805393800707313877191961584275034658683706891879617752558094362977531942534137565989215971093996771876803196950655230887236884743038357299782769874146216467544198975572950370995188484101671741288528468293966996816275018324699771682367975782598584385675133111514745388827628519571383379143356200580536085372584008390852742403389170680466,12032288963067169469061470188020670581555337436799309428379699297996194227620883002151425106860058657436710687429906234814485106548714889366006251312678384730241654234379151645809704896219237085654196076501489270589370192814236983657152673967972870689187610077072770546230013287942747354016723493850997231837848140569384610509158697552670749171637890228595824485774666864979296244265406410998166094190764310925805209904706482021895973596302971978582454369912119446216146839948923797067358088670813275771356584680674751548946009121040903505533474108325780730632789992397641132693773579207595447311462805390319207305844621992940347729337908968260274995666179793369984236161332359178786955686816089927976244142248783718367646979618146298158854555618592289897447124983034731724445922130112077600241378850907236184103,-0.5750,-619.1170,-620.2834,counted,,
