# sieve sift, alphabet lower27, dictionary sha256 fa4dfcfc6e792cf3b308d041b02955bd1fddb8559a220a6e52666abba59d02d1
length,log10_units,clean,window,words,log10_frac_clean,log10_frac_window,log10_frac_words,verified_by,pruned_window_states,log10_frac_prefix_tree_explored
51,72.9996,9348741255221862574263384962497627832063243754897521969646174849778843648,73454710629086072154517627159627690672899,4112364704595218223234643179935174198427,-0.0288,-32.1335,-33.3855,counted,,
52,74.4309,252081703312888061711728234220471282025532527937237660749233291134261788672,433817515211954094479706624940023686903624,24287284806081655321151063354716753389047,-0.0294,-32.7936,-34.0455,counted,,
53,75.8623,6797191558770858031435782098757191656297490063995514750690866115585056440320,2562092413991288362805195725102334422047919,143438613022513409220159499441173661534008,-0.0299,-33.4537,-34.7056,counted,,
54,77.2936,183281104814177398421835268657419236396398587390251562697442584574702273953792,15131523722838247988696490034422911505318395,847137457909103272078152446022416764063773,-0.0305,-34.1138,-35.3657,counted,,
55,78.7250,4942035705696654667785047319660587129370098013810424013651469717947470590246912,89365605887328087220920729113353032646810611,5003132039988078104350398196163206074702206,-0.0311,-34.7738,-36.0258,counted,,
56,80.1564,133258237073281633721378947296268165509928911631217564985071719865576494469218304,527786190961971917200748047143210415558874489,29548108639103253131535342199649619305242507,-0.0317,-35.4339,-36.6858,counted,,
57,81.5877,3593207092253435498118263860014147568621774250770727713966802929171623091546095616,3117063829232910195655021752608086607402057373,174508739207357315151503153805215040221374113,-0.0323,-36.0940,-37.3459,counted,,
58,83.0191,96888098562494645427830712990070809087424282222450577252748740874967189236398161920,18409137868917566580100870457467987808206751253,1030634888692330074607584770743017346199533577,-0.0328,-36.7541,-38.0060,counted,,
59,84.4505,2612513947023450104074673398102208873057197468303753929134604138907609120526550695936,108722940419574928423132692320234620705842287163,6086850928019557074464456338766330249385468489,-0.0334,-37.4141,-38.6661,counted,,
60,85.8818,70444453185234563487065106888399271735760165513681317166071174874346984053836670304256,642109177535115847750228023261875636581145088684,35948471268021547578358981314811636268277035945,-0.0340,-38.0742,-39.3261,counted,,
61,87.3132,1899481145438708353369634287449038495829251437531611848475350254344619422533443746004992,3792246543952508724338961844310788960930334578625,212308839645412063067337820668929852343904691144,-0.0346,-38.7343,-39.9862,counted,,
62,88.7446,51218065564222515838274184252773381956690301679177622306676957159693126571269290824040448,22396712813206217734911036841046483711121981661436,1253879331534284907267594185920354939947938956269,-0.0351,-39.3944,-40.6463,counted,,
63,90.1759,1381056214451191828982739282045782931765508381034440088033959992764981395838871098821181440,132273243931396915866494849402952659044971112989451,7405314011572589064953629991495873566087064537282,-0.0357,-40.0544,-41.3064,counted,,
64,91.6073,37239131280400772965346350123762464156777165750554060468856560698041537582663650130775769088,781195461351830494824727200902201931776957347160498,43735210131608184284709012739247182818625652442834,-0.0363,-40.7145,-41.9664,counted,,
80,114.5091,2908107767580666047926840356247369353942266762456347624387516699330892501550135157707655996890756515693703741833216,1711445397584784633602506502482732550532980314437303165602839136,95815228505471894837354091654221595169319998642003084457022477,-0.0455,-51.2757,-52.5277,counted,,
100,143.1364,120053324363594391792554694098520332270299939212068368942871379440798686248614219017912721292144685838657058566685542527444233088261250063794176,4561600265371025750619543758319790159456914667733536304638326533699096331335155,255381078872530036589373782308615831593817219280012741749324146756510226976821,-0.0570,-64.4773,-65.7292,counted,,
128,183.2146,1384979554316587999041589777796802163131074812584887857173613160584106445927394590300901103554702356073399712117994259308174827586937341373606475744517023708805677845124266598428835840,17995879381211253468103499302879378573823452179404104683365063481548256284462746384288782165368542871,1007498865367999034089769843835772458189585315765095821887983538313975855894991001798182026575682665,-0.0731,-82.9594,-84.2113,counted,,
200,286.2728,14394369969190961004509657968289993204108129060455485222227361358957760297244149884134284000370541483819513423464219398833648803265448374549414024274041698419198714013818959663396208509125340978514837532273929399652604021394940280704902682180287055745588582767000312428346767740529278976,613603901445024420254543018217113101151121138246659581625506545612921318304275354686091961241441733196374859459994716180434582216306064369398750127399768815,34352599358755593298956095052979401145184934440257166764829154541741508673720273179316349893812259117564582686509526754795999509585530201763123002189454105,-0.1146,-130.4849,-131.7368,counted,,
256,366.4291,1915715461140208837473997980232282704978180449264472208105990964234101438091868071833445192053638540266902197171683910428924393234603896378777162340513446140346409827918593485303022264498671575687001856106396906021474942557913999496220538303662409587442139067847946403715082163174509121678380949243207500970835259729979991665496751161774196600908118895798875433467904,9549921661549440340057279380489700209026632463446095386088634007560665416144816620917568662531758820833597015700522584223552655998767370820785996200533327166838187673469215614808411647459590023780566,534652129776430805697433486275616051211805342860941100250334080905665083840703757778617690512862624287138280189094350251505279077921498088810931505015776444970848843409082153506378617547617989213893,-0.1468,-167.4491,-168.7011,counted,,
500,715.6819,24811217283650861285383407809091452485755606242411282052446397078597735901155823159490398179948956690626071274105832080593245827674041756012017740907483350993195410093369524069488139004231620542304936656373983828990588605371077173686272894724904737661694149321583012450536166491235896439235427885824337724317296005626922515784007429881454797797112852179080013104447098142805358819677334145563731545586139874038037857398885811154281808589807095974443257174931860608273301197457524056563343885956993419228626782088985367815335965396084141930239007271958688258032577639631689160708208897194131122265374202786525307963820010470510203090716145729200140240234699115017897260534383022981830577909429401970246725071458533376,1493484685136726046367720891008568967434710337655729075062369799154818595326846999159203359915912096325397608077837543842901751623795631011326617129611450287085794180227882336716109865423251946183741535938281295777214291966981585368927964630288050050777709831935803640814104449802783304170031879878880204868778203273963493349832375252876343247264474452860428623718085448281538457453131393,83612703433137885920332360514012157877240914072978717168034138274099753316566361627886151405026167302005679041858152060477521419717940696453385376511324200435318764194638741480534978090797881886624676621864852323510307173005861964150623122583681711369671078527080251516789335510620454898860726759085068090303232884013592101935077231317796472757753476140513343180685834545198945368320017,-0.2872,-328.5077,-329.7596,counted,,
1000,1431.3638,614809294004771254267138599153886024257124140759538624497580178675697315324126543046120183704204604089813277764904671598538617873590192141587858908594165141733025412336780934793505137631959532854076636504289865539930284364352704365542594338017866801805696073323514708930338594662822490460873253360306179312642137666806288793993199086714344916936027997305599308409389227606707967430317319371545052620528254429730194230958485411703407988705964097047729534393134417168196151543988467124222580517525480267406476986049331854366025288710844484031976566377828850625100415032918234276210552937791447455850963409067604481955437891253130058473790537471016002110251213898637760071052011403935607249130298248811243954988357801006532538400752858311860641529650118748197007110330994886706852623172535082749726436092380239261385963974448754640392381131983336261524201867339332585287848926445458855488309574509537746502091691482630316948084271099713742559570131511996329450466308696876758454324645237335578824200828944047754323176236813172590548912391422763604713060672199668870759906840998609050901089586322785390692047989267057919346903446586375229577291288475372943738073233555139225755759929885737099059301050677173109983720175696042698009084536685236338324006093955361785455197096723453774977505367952207871087900401168838779429545577889783798426440408085762560975269523833624847441553863881188979117381630240339782113430871258298379849957376,65774144617702825466098560396740871752564086840002750317761390495746612985028175274496405647760464012830446675035089313844929019465167746074815705359870728469777194314456969681824943186949984258189668081060107071455365954425404852540880232785337207756560365314236764778371350928636036213088270846614054170315745316426819053070674648781394646477912031831325220081512823071393076244809496873575626598779047896748628141261133566414684759891321804967953890498437095852717532969200534022521120605622351416909514196311321640628467224064796785571092505202497968732266403049376249757190586144981601062503425355078687105587079291074494425637530339731776308625388946395140826282281773318947977804914014733770062346471846245382305761038635790023306062145505948805217235330776556781670,3682363871702396320470164443198004480219376492616687287637375128218893266500660582177836880427363706139396003973680457029677325796340958613856643509364230832417250163666510752105363146502557293537866404470518111511921780138316719355312883739116359876139107353214705728626536892735014830690244649684622394251623467451451851976262935612621116076175031547885372749228611617044931877303663872489417989874478288605576965499474169815127592783344093068390444860154824584051021057469145391923520775037157811672738635104317721523603025113901352199139755030134218403137009535221438558284855173987611569244909687806123955376299451539725035897051144057729828052633891772513600091554927948482027991212669192864796612929161228750049748629878533159422732887175072039433344570967693171053,-0.5750,-658.5457,-659.7976,counted,,
